PLAYER,TEAM,YEAR,GP,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV
Allen Iverson,PHI,2000,71,42.0,31.1,10.7,25.5,1.4,4.3,8.2,10.1,0.7,3.1,4.6,2.5,0.3,3.3
Jerry Stackhouse,DET,2000,80,40.2,29.8,9.7,24.1,2.1,5.9,8.3,10.1,1.2,2.7,5.1,1.2,0.7,4.1
Shaquille O'Neal,LAL,2000,74,39.5,28.7,11.0,19.2,0.0,0.0,6.7,13.1,3.9,8.8,3.7,0.6,2.8,2.9
Kobe Bryant,LAL,2000,68,40.9,28.5,10.3,22.2,0.9,2.9,7.0,8.2,1.5,4.3,5.0,1.7,0.6,3.2
Vince Carter,TOR,2000,75,39.7,27.6,10.2,22.1,2.2,5.3,5.1,6.7,2.3,3.2,3.9,1.5,1.1,2.2
Chris Webber,SAC,2000,70,40.5,27.1,11.2,23.4,0.0,0.4,4.6,6.6,2.6,8.5,4.2,1.3,1.7,2.8
Tracy McGrady,ORL,2000,77,40.1,26.8,10.2,22.4,0.8,2.2,5.6,7.6,2.5,5.0,4.6,1.5,1.5,2.6
Paul Pierce,BOS,2000,82,38.0,25.3,8.4,18.5,1.8,4.7,6.7,9.0,1.1,5.2,3.1,1.7,0.8,3.2
Antawn Jamison,GSW,2000,82,41.4,24.9,9.8,22.1,0.8,2.5,4.7,6.5,3.4,5.3,2.0,1.4,0.3,2.4
Stephon Marbury,NJN,2000,67,38.2,23.9,8.4,19.1,1.6,5.0,5.4,6.8,0.8,2.3,7.6,1.2,0.1,2.9
Antoine Walker,BOS,2000,81,41.9,23.4,8.8,21.2,2.7,7.4,3.1,4.3,1.9,7.0,5.5,1.7,0.6,3.7
Karl Malone,UTA,2000,81,35.7,23.2,8.3,16.6,0.0,0.1,6.6,8.3,1.4,6.9,4.5,1.1,0.8,3.0
Gary Payton,SEA,2000,79,41.1,23.1,9.2,20.1,1.3,3.4,3.4,4.5,0.9,3.6,8.1,1.6,0.3,2.6
Tim Duncan,SAS,2000,82,38.7,22.2,8.6,17.1,0.1,0.3,5.0,8.1,3.2,9.0,3.0,0.9,2.3,3.0
Glenn Robinson,MIL,2000,76,37.0,22.0,9.0,19.2,0.7,2.4,3.3,4.0,1.6,5.3,3.3,1.1,0.8,2.9
Kevin Garnett,MIN,2000,81,39.5,22.0,8.7,18.2,0.2,0.8,4.4,5.8,2.7,8.7,5.0,1.4,1.8,2.8
Ray Allen,MIL,2000,82,38.2,22.0,7.7,16.0,2.5,5.7,4.2,4.8,1.2,4.0,4.6,1.5,0.2,2.5
Dirk Nowitzki,DAL,2000,82,38.1,21.8,7.2,15.2,1.8,4.8,5.5,6.6,1.5,7.7,2.1,1.0,1.2,1.9
Michael Finley,DAL,2000,82,42.0,21.5,8.7,18.9,1.1,3.2,3.1,4.0,1.3,3.9,4.4,1.4,0.4,2.3
Antonio McDyess,DEN,2000,70,36.5,20.8,8.2,16.6,0.0,0.0,4.3,6.2,3.4,8.6,2.1,0.6,1.5,2.3
Shareef Abdur-Rahim,VAN,2000,81,40.0,20.5,7.5,15.8,0.1,0.8,5.5,6.6,2.2,6.9,3.1,1.1,1.0,2.9
Jalen Rose,IND,2000,72,40.9,20.5,7.9,17.3,0.8,2.4,4.0,4.8,0.5,4.5,6.0,0.9,0.6,2.9
Peja Stojakovic,SAC,2000,75,38.7,20.4,7.5,15.9,1.9,4.8,3.6,4.2,1.2,4.5,2.2,1.2,0.2,1.9
Elton Brand,CHI,2000,74,39.3,20.1,7.8,16.4,0.0,0.0,4.5,6.4,3.9,6.2,3.2,1.0,1.6,3.0
Jamal Mashburn,CHH,2000,76,39.3,20.1,7.5,18.3,1.4,3.8,3.7,4.8,1.2,6.4,5.4,1.1,0.2,2.8
Steve Francis,HOU,2000,80,39.9,19.9,6.9,15.2,1.7,4.2,4.5,5.5,2.4,4.5,6.5,1.8,0.4,3.3
Jason Terry,ATL,2000,82,37.7,19.7,7.3,16.7,1.5,3.8,3.7,4.4,0.5,2.8,4.9,1.3,0.1,2.9
Cuttino Mobley,HOU,2000,79,38.0,19.5,6.7,15.4,1.1,3.2,5.0,6.0,1.1,4.0,2.5,1.1,0.3,2.1
Rasheed Wallace,POR,2000,77,38.2,19.2,7.7,15.3,0.7,2.1,3.2,4.2,1.9,5.9,2.8,1.2,1.8,2.1
Reggie Miller,IND,2000,81,39.3,18.9,6.4,14.5,2.1,5.7,4.0,4.3,0.5,3.0,3.2,1.0,0.2,1.6
Allan Houston,NYK,2000,78,36.6,18.7,6.9,15.5,1.2,3.2,3.6,3.9,0.3,3.4,2.2,0.7,0.1,2.1
Sam Cassell,MIL,2000,76,35.6,18.2,7.1,14.9,0.4,1.3,3.6,4.3,0.6,3.2,7.6,1.2,0.1,2.9
Richard Hamilton,WAS,2000,78,32.3,18.1,7.0,16.0,0.5,1.9,3.6,4.1,1.0,2.1,2.9,1.0,0.1,2.6
Juwan Howard,DAL,2000,81,36.7,18.0,7.2,15.0,0.0,0.0,3.7,4.7,2.1,5.0,2.8,0.9,0.5,3.0
Nick Van Exel,DEN,2000,71,37.9,17.7,6.5,15.7,1.9,5.0,2.9,3.5,0.6,2.8,8.5,0.9,0.3,2.3
Latrell Sprewell,NYK,2000,77,39.2,17.7,6.8,15.8,0.5,1.8,3.6,4.6,0.6,3.9,3.5,1.4,0.4,2.8
Shawn Marion,PHX,2000,79,36.2,17.3,7.1,14.7,0.3,1.0,3.0,3.7,2.8,7.9,2.0,1.7,1.4,1.6
David Wesley,CHH,2000,82,37.9,17.2,6.4,15.1,1.2,3.1,3.3,4.1,0.8,2.0,4.4,1.6,0.2,2.1
Lamar Odom,LAC,2000,76,37.3,17.2,6.3,13.8,1.1,3.3,3.4,5.1,1.4,6.3,5.2,1.0,1.6,3.5
Jason Kidd,PHX,2000,77,39.8,16.9,5.9,14.2,0.9,3.0,4.3,5.2,1.2,5.2,9.8,2.2,0.3,3.7
Clifford Robinson,PHX,2000,82,33.5,16.4,6.1,14.5,1.1,3.0,3.1,4.4,1.3,2.8,2.9,1.1,1.0,2.3
Michael Dickerson,VAN,2000,70,37.4,16.3,6.1,14.6,1.2,3.3,2.9,3.9,1.0,2.3,3.3,0.9,0.4,2.3
Anthony Mason,MIA,2000,80,40.7,16.1,5.8,11.9,0.0,0.0,4.6,5.9,2.1,7.5,3.1,1.0,0.3,2.2
